,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,escrow,product_link,vendor_link,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR
2841,5KG Bolivian Cocaine 92%,"EU  → EU, WW",5000,92,51.5,0.0103,0.0111956522,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=432341.256489,http://lchudifyeqm4ldjj.onion/contactMember?member=BestDutchStuff,BestDutchStuff,100,4.96,EU,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4607,✯3kg FLAKES COCAINE 92% ✯GA✯,"NL  → WW, US",3000,92,43.2,0.0144,0.0156521739,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=512783.905356,http://lchudifyeqm4ldjj.onion/contactMember?member=gomorraamsterdam,gomorraamsterdam,360,4.86,NL,"WW, US",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3407,COCAINE - 2 KILOGRAM - COLOMBIAN - 89% PURE,"DE  → WW, AU",2000,89,38.6,0.0193,0.0216853933,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=158881.819126,http://lchudifyeqm4ldjj.onion/contactMember?member=DutchBulk,DutchBulk,70,5,DE,"WW, AU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026,2KG Colombian Cocaine 90%,"EU  → EU, WW",2000,90,30.4,0.0152,0.0168888889,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=616190.90904,http://lchudifyeqm4ldjj.onion/contactMember?member=BestDutchStuff,BestDutchStuff,100,4.96,EU,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4606,✯2kg FLAKES COCAINE 92% ✯GA✯,"NL  → WW, US",2000,92,29.89,0.014945,0.0162445652,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=909386.151627,http://lchudifyeqm4ldjj.onion/contactMember?member=gomorraamsterdam,gomorraamsterdam,360,4.86,NL,"WW, US",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025,2KG Bolivian Cocaine 90%,"EU  → EU, WW",2000,90,28.3,0.01415,0.0157222222,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=420171.938760,http://lchudifyeqm4ldjj.onion/contactMember?member=BestDutchStuff,BestDutchStuff,100,4.96,EU,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1529,2 KG BRICK COCAINE 95% SHIPPED FROM USA,US  → US,2000,95,27.1,0.01355,0.0142631579,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=448718.460211,http://lchudifyeqm4ldjj.onion/contactMember?member=JETSETLIFE,JETSETLIFE,370,4.96,US,US,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1311,1KG  Pure Uncut Cocaine  90%-92%,"NL  → WW, EU",1000,90,24.89,0.02489,0.0276555556,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=528368.794197,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdam2015,amsterdam2015,620,4.84,NL,"WW, EU",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1310,1KG  PURE COCAINE 89-91%    ******LIMITED TIME DI,NL  → WW,1000,91,23.98,0.02398,0.0263516484,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=408223.511926,http://lchudifyeqm4ldjj.onion/contactMember?member=Aliexpressss,Aliexpressss,310,4.74,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1314,1KG COCAINE (Peru)AAA+++ 90% Flakes Fishscale,"DE  → WW, DE",1000,90,23.19,0.02319,0.0257666667,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=357656.936715,http://lchudifyeqm4ldjj.onion/contactMember?member=Naturalminds,Naturalminds,490,4.97,DE,"WW, DE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
543,1 KG COCAINE FISHSCALE PURE FLAKE 90% ***PROMO,NL  → EU,1000,90,20.48,0.02048,0.0227555556,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=198398.486472,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdamflex,amsterdamflex,180,4.88,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1318,1KG COCAINE FLAKES 90%,NL  → EU,1000,90,20.1,0.0201,0.0223333333,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=927068.212721,http://lchudifyeqm4ldjj.onion/contactMember?member=GreyGooseGlobal,GreyGooseGlobal,230,4.87,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
